Ticker,Exchange,Full ticker
WISE,LONDON STOCK EXCHANGE,WISE
FPAR A,NASDAQ STOCKHOLM AB,FPAR A
BCG,LONDON STOCK EXCHANGE,BCG
AUTO,LONDON STOCK EXCHANGE,AUTO
ENG,BOLSA DE MADRID,ENG
MONET,PRAGUE STOCK EXCHANGE,MONET
MFEB,ELECTRONIC SHARE MARKET,MFEB
ALLEI,NASDAQ STOCKHOLM AB,ALLEI
WAWI,OSLO BORS ASA,WAWI
TURSG.E,BORSA ISTANBUL - EQUITY MARKET,TURSG.E
SOON,SIX SWISS EXCHANGE,SOON
HBH,XETRA,HBH.DE
OCDO,LONDON STOCK EXCHANGE,OCDO
EPI A,NASDAQ STOCKHOLM AB,EPI A
ASML,EURONEXT - EURONEXT AMSTERDAM,ASML
VMUK,LONDON STOCK EXCHANGE,VMUK
STM,XETRA,STM.DE
DOFG,OSLO BORS ASA,DOFG
RACE,ELECTRONIC SHARE MARKET,RACE
GVS,ELECTRONIC SHARE MARKET,GVS
DNB,OSLO BORS ASA,DNB
SHUR,EURONEXT - EURONEXT BRUSSELS,SHUR
SDZ,SIX SWISS EXCHANGE,SDZ
DEMANT,NASDAQ COPENHAGEN A/S,DEMANT
MANTA,NASDAQ HELSINKI LTD,MANTA
ABI,EURONEXT - EURONEXT BRUSSELS,ABI
NEM,XETRA,NEM.DE
CAR,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,CAR
KIND SDB,NASDAQ STOCKHOLM AB,KIND SDB
TTRAK.E,BORSA ISTANBUL - EQUITY MARKET,TTRAK.E
ADS,XETRA,ADS.DE
FLU,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),FLU
ADM,LONDON STOCK EXCHANGE,ADM
CCC,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,CCC
GLPG,EURONEXT - EURONEXT AMSTERDAM,GLPG
TIP,ELECTRONIC SHARE MARKET,TIP
DKSH,SIX SWISS EXCHANGE,DKSH
SALM,OSLO BORS ASA,SALM
TGYM,ELECTRONIC SHARE MARKET,TGYM
SNN,SPOT REGULATED MARKET - BVB,SNN
AVOL,SIX SWISS EXCHANGE,AVOL
VER,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),VER
LOTB,EURONEXT - EURONEXT BRUSSELS,LOTB
DIE,EURONEXT - EURONEXT BRUSSELS,DIE
RWAY,ELECTRONIC SHARE MARKET,RWAY
SOLB,EURONEXT - EURONEXT BRUSSELS,SOLB
BMW,XETRA,BMW.DE
CBK,XETRA,CBK.DE
INDT,NASDAQ STOCKHOLM AB,INDT
BFIT,EURONEXT - EURONEXT AMSTERDAM,BFIT
CON,XETRA,CON.DE
LHA,XETRA,LHA.DE
HOT,XETRA,HOT.DE
ANIM,ELECTRONIC SHARE MARKET,ANIM
ENAV,ELECTRONIC SHARE MARKET,ENAV
SDF,XETRA,SDF.DE
MUV2,XETRA,MUV2.DE
VOW,XETRA,VOW.DE
BBVA,BOLSA DE MADRID,BBVA
FCC,BOLSA DE MADRID,FCC
REP,BOLSA DE MADRID,REP
GFC,EURONEXT - EURONEXT PARIS,GFC
LI,EURONEXT - EURONEXT PARIS,LI
LSS,EURONEXT - EURONEXT PARIS,LSS
BOL,EURONEXT - EURONEXT PARIS,BOL
SGO,EURONEXT - EURONEXT PARIS,SGO
VK,EURONEXT - EURONEXT PARIS,VK
UBI,EURONEXT - EURONEXT PARIS,UBI
FR,EURONEXT - EURONEXT PARIS,FR
BARC,LONDON STOCK EXCHANGE,BARC
BBY,LONDON STOCK EXCHANGE,BBY
BT.A,LONDON STOCK EXCHANGE,BT.A
CHG,LONDON STOCK EXCHANGE,CHG
