IPN,EURONEXT - EURONEXT PARIS
SMWH,LONDON STOCK EXCHANGE
TATE,LONDON STOCK EXCHANGE
LLOY,LONDON STOCK EXCHANGE
COTN,SIX SWISS EXCHANGE
STG,NASDAQ COPENHAGEN A/S
KCAER.E,BORSA ISTANBUL - EQUITY MARKET
ALSN,SIX SWISS EXCHANGE
GRKP,SIX SWISS EXCHANGE
SUN,SIX SWISS EXCHANGE
PEO,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
JD.,LONDON STOCK EXCHANGE
EXO,EURONEXT - EURONEXT AMSTERDAM
IWG,LONDON STOCK EXCHANGE
BUFAB,NASDAQ STOCKHOLM AB
BAMI,ELECTRONIC SHARE MARKET
IP,ELECTRONIC SHARE MARKET
BFT,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
AMAG,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET)
KRKG,LJUBLJANA STOCK EXCHANGE (OFFICIAL MARKET)
ORNBV,NASDAQ HELSINKI LTD
AUSS,OSLO BORS ASA
GEBN,SIX SWISS EXCHANGE
DFDS,NASDAQ COPENHAGEN A/S
SUPR,LONDON STOCK EXCHANGE
CARL B,NASDAQ COPENHAGEN A/S
JYSK,NASDAQ COPENHAGEN A/S
RILBA,NASDAQ COPENHAGEN A/S
CORE A,NASDAQ STOCKHOLM AB
BIRG,IRISH STOCK EXCHANGE - ALL MARKET
LAND,SIX SWISS EXCHANGE
CE2,XETRA
HTO,ATHENS EXCHANGE S.A. CASH MARKET
VEI,OSLO BORS ASA
DNLM,LONDON STOCK EXCHANGE
WBD,ELECTRONIC SHARE MARKET
DAN,ELECTRONIC SHARE MARKET
INVE B,NASDAQ STOCKHOLM AB
SAAB B,NASDAQ STOCKHOLM AB
VOLV B,NASDAQ STOCKHOLM AB
UPONOR,NASDAQ HELSINKI LTD
STERV,NASDAQ HELSINKI LTD
HFG,XETRA
SELEC.E,BORSA ISTANBUL - EQUITY MARKET
